latitude,longitude,altitude,geometry,coordinates,@id,aerialway,building,network,operator,public_transport,source,wall,layer,aerialway:access,ele,name,aerialway:summer:access,internet_access,ele:local,area,aerialway:bubble,aerialway:capacity,aerialway:duration,aerialway:length,aerialway:occupancy,ref,oneway,aerialway:heating,comment,aerialway:chair_lift:occupancy,aerialway:gondola:occupancy,alt_name,covered,opening_hours,note,charge,playground,website,access,construction,maxspeed,proposed:aerialway,start_date
,,,Polygon,"6.5353175,45.3183024,6.5354976,45.3184466,6.5354333,45.3184863,6.5352532,45.3183421,6.5353175,45.3183024",way/935073818,station,yes,Les Menuires & Saint-Martin-de-Belleville 3 Vallées,SEVABEL,station,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2012,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"6.5821412,45.2943295,6.5821677,45.2941945,6.5824621,45.2942224,6.5824509,45.294281,6.5824366,45.2943558,6.5821412,45.2943295",way/993689775,station,yes,,,station,,,,,,Lac Blanc,,,2287,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"6.5376426,45.3218571,6.5377143,45.3218111,6.537747,45.3218429,6.5377595,45.32184,6.5378785,45.3219481,6.5378381,45.3220073,6.5377783,45.3219853,6.5376656,45.3218904,6.5376767,45.3218835,6.5376426,45.3218571",way/1006219890,station,yes,,,station,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"6.530099,45.326244,6.5301635,45.3262212,6.5302381,45.3263256,6.5301736,45.3263484,6.530099,45.326244",way/1027447799,station,yes,,,station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"6.5102299,45.2966869,6.5097564,45.2968827,6.5095661,45.2966464,6.5096583,45.296608,6.5100276,45.2964544,6.5102299,45.2966869",way/1031997573,station,yes,Les Menuires & Saint-Martin-de-Belleville 3 Vallées,SEVABEL,station,,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"6.5443619,45.3132088,6.5441663,45.3131024,6.544214,45.313059,6.544234,45.3130408,6.5443099,45.313082,6.5444297,45.3131472,6.5443619,45.3132088",way/1031997575,station,yes,Les Menuires & Saint-Martin-de-Belleville 3 Vallées,SEVABEL,station,,,,entry,,Sunny Express,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"6.5443099,45.313082,6.544234,45.3130408,6.544214,45.313059,6.5440661,45.3130249,6.5440243,45.3129963,6.544079,45.3129691,6.5442621,45.3130158,6.5442471,45.3130256,6.5442569,45.3130328,6.5443,45.3130565,6.5443253,45.3130723,6.5443099,45.313082",way/1031997576,yes,,,SEVABEL,platform,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"6.5499929,45.3199035,6.5502585,45.3198935,6.5502644,45.3199711,6.5499988,45.319981,6.5499929,45.3199035",way/1034095595,station,yes,Les Menuires & Saint-Martin-de-Belleville 3 Vallées,SEVABEL,station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"6.5500752,45.3193499,6.5500672,45.3193079,6.5500752,45.3192702,6.5502829,45.319274,6.5502932,45.3193167,6.5502825,45.3193459,6.5500752,45.3193499",way/1034095598,station,yes,Les Menuires & Saint-Martin-de-Belleville 3 Vallées,SEVABEL,station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"6.5182062,45.3101276,6.5182083,45.3100795,6.5182746,45.3100786,6.5182708,45.3101252,6.5182062,45.3101276",way/1057959736,station,yes,Les Menuires & Saint-Martin-de-Belleville 3 Vallées,SEVABEL,station,,,,entry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LineString,"6.5774881,45.2951193,6.578232,45.2949455,6.5796799,45.2946071,6.580803,45.2943447,6.5825296,45.2939412,6.5829645,45.2938396,6.5843438,45.2935173,6.5851582,45.293327,6.5868422,45.2929334,6.5873892,45.2928056,6.5890238,45.2924236,6.5904099,45.2920997,6.5912128,45.2919121,6.5929855,45.2914978,6.5937216,45.2913258,6.5945526,45.2911316",way/22461970,chair_lift,,,,,,,,,,Cascades,,,,,no,4000,04:45,1426,6,B 60,,,,,,,,,,,,,,,,,
,,,LineString,"6.5833854,45.2866297,6.5836034,45.2862231,6.5840755,45.2853425,6.5847191,45.2841421,6.5849498,45.2837117,6.5855531,45.2825864,6.586061,45.2816391,6.5866906,45.2804646,6.5877397,45.2785075,6.5883744,45.2773236,6.5887555,45.2766125,6.5893868,45.2754348,6.5901204,45.2740663,6.5904266,45.2734951,6.5904722,45.2734099,6.5911387,45.2721664,6.5912035,45.2720455,6.5912741,45.2719139",way/22462906,chair_lift,,,,,,,1,,,Portette,,,,,no,3325,,1592,6,B 86,yes,,,,,,,,,,,,,,,,
,,,LineString,"6.5645469,45.2942801,6.564313,45.292635,6.5642468,45.2921696,6.5640941,45.2910958,6.5639021,45.2897455,6.5637361,45.2885784,6.5633937,45.2861701,6.5628913,45.2826368,6.5626342,45.2807705",way/22462907,gondola,,,,,,,1,,,Caron,,,,,,2600,04:06,1477,8,B 196,,,,,,,,,,,,,,,,,
